LeSean McCoy,RB,PHI,0.9
Jamaal Charles,RB,KC,1.1
Adrian Peterson,RB,MIN,1.4
Matt Forte,RB,CHI,1.1
Calvin Johnson,WR,DET,1.4
Eddie Lacy,RB,GB,1.4
Jimmy Graham,TE,NO,2.3
Demaryius Thomas,WR,DEN,1.9
Peyton Manning,QB,DEN,4.2
Montee Ball,RB,DEN,2.9
Dez Bryant,WR,DAL,2.4
Marshawn Lynch,RB,SEA,3.4
Arian Foster,RB,HOU,3.4
A.J. Green,WR,CIN,2.6
DeMarco Murray,RB,DAL,3.3
Julio Jones,WR,ATL,2.9
LeVeon Bell,RB,PIT,3.4
Brandon Marshall,WR,CHI,2.8
Aaron Rodgers,QB,GB,4.6
Giovani Bernard,RB,CIN,3.5
Drew Brees,QB,NO,5.1
Alfred Morris,RB,WAS,3.7
Jordy Nelson,WR,GB,3
Doug Martin,RB,TB,4.3
Antonio Brown,WR,PIT,3.3
Rob Gronkowski,TE,NE,4.8
Alshon Jeffery,WR,CHI,3.4
Zac Stacy,RB,STL,4.2
Randall Cobb,WR,GB,3.3
Andre Ellington,RB,ARI,3.8
Julius Thomas,TE,DEN,4.6
C.J. Spiller,RB,BUF,4.1
Reggie Bush,RB,DET,4.5
Keenan Allen,WR,SD,4.4
Toby Gerhart,RB,JAC,4.5
Vincent Jackson,WR,TB,4.3
Pierre Garcon,WR,WAS,4.6
Victor Cruz,WR,NYG,4.3
Ryan Mathews,RB,SD,4.9
Bishop Sankey,RB,TEN,5
Larry Fitzgerald,WR,ARI,4.9
Wes Welker,WR,DEN,5.4
Andre Johnson,WR,HOU,4.9
Cordarrelle Patterson,WR,MIN,6
Frank Gore,RB,SF,6.6
Roddy White,WR,ATL,4.8
Shane Vereen,RB,NE,7
Matthew Stafford,QB,DET,8.6
Rashad Jennings,RB,NYG,7
Michael Crabtree,WR,SF,5.5
Percy Harvin,WR,SEA,5.7
DeSean Jackson,WR,WAS,5.7
Chris Johnson,RB,NYJ,7
Trent Richardson,RB,IND,7.2
Andrew Luck,QB,IND,9.2
Michael Floyd,WR,ARI,5.8
Vernon Davis,TE,SF,8.2
Ray Rice,RB,BAL,7.2
Ben Tate,RB,CLE,7
Jordan Cameron,TE,CLE,7.6
T.Y. Hilton,WR,IND,6.5
Jeremy Maclin,WR,PHI,6.4
Joique Bell,RB,DET,6.9
Torrey Smith,WR,BAL,6.2
Emmanuel Sanders,WR,DEN,6.8
Nick Foles,QB,PHI,10.8
Stevan Ridley,RB,NE,7.4
Steven Jackson,RB,ATL,7.7
Robert Griffin III,QB,WAS,10.1
Mike Wallace,WR,MIA,6.8
Jason Witten,TE,DAL,8.8
Tom Brady,QB,NE,10.3
Julian Edelman,WR,NE,7.9
Lamar Miller,RB,MIA,9.1
Pierre Thomas,RB,NO,8.8
Sammy Watkins,WR,BUF,7.8
Marques Colston,WR,NO,7.8
Maurice Jones-Drew,RB,OAK,8.2
Matt Ryan,QB,ATL,9
Darren Sproles,RB,PHI,8.9
Jordan Reed,TE,WAS,9.6
Terrance Williams,WR,DAL,8.3
Cam Newton,QB,CAR,12.3
Golden Tate,WR,DET,8.2
Terrance West,RB,CLE,8.4
Kendall Wright,WR,TEN,7.9
Reggie Wayne,WR,IND,9.2
Greg Olsen,TE,CAR,10.2
Colin Kaepernick,QB,SF,11.1
Eric Decker,WR,NYJ,9.2
Seattle Defense,DEF,SEA,9
Bernard Pierce,RB,BAL,9.1
Dennis Pitta,TE,BAL,11.9
Danny Woodhead,RB,SD,10.1
Tony Romo,QB,DAL,9.3
Riley Cooper,WR,PHI,9.3
Brandin Cooks,WR,NO,9.5
Kyle Rudolph,TE,MIN,12.3
Darren McFadden,RB,OAK,10.3
Fred Jackson,RB,BUF,10.5
Rueben Randle,WR,NYG,9.1
Knowshon Moreno,RB,MIA,12.8
Jay Cutler,QB,CHI,10.4
Dwayne Bowe,WR,KC,9.4
Jeremy Hill,RB,CIN,11.3
Khiry Robinson,RB,NO,10
Hakeem Nicks,WR,IND,10.3
