"","name","pos","team","overallRank","positionRank","vor","projectedPts","upside","risk","projectedCost","adp","ADPdiff","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo"
"1","Jamaal Charles","RB","KC",1,1,144.800024882101,264.749884591044,280.160739139449,3.5406288352596,475,1.3,0.3,0,0,0,1267.5,9.99999350635517,66.1500203399261,586,3.99997361691394,0,2.29995907428542,299.2,257.9,250.7,266.8,270.93,274.6,268.3,269.2,270,263.5,295,244.6,249.1,266.7
"2","LeSean McCoy","RB","PHI",2,2,131.950129603589,251.899989312531,268.717784244496,3.71468470204941,478,2.4,0.4,0,0,0,1415.00003450165,9.50000744418125,44.1902961620347,403,2.49997274003583,1.05,1.99994762146817,284.2,242.8,246.4,261.4,259.18,274,259,232.9,242,256,247,277.1,253.6,224
"3","Adrian Peterson","RB","MIN",3,3,119.549649318913,239.499509027856,252.239059626309,3.26948472480145,462,3.2,0.2,0,0,0,1405,11.4999450857716,37.9999658781341,250.000035928818,1.4999874668318,1,3.00004494032317,252.6,222.6,255.4,245.7,240.88,252,236.2,234,241.5,219.4,248.5,252,258,261.9
"4","Matt Forte","RB","CHI",4,4,119.100946652951,239.050806361894,253.948499449773,3.49370250407795,431,6.5,2.5,0,0,0,1244.5,8.00005071477147,65.99999177261,535.000009084291,2.50008352747264,1.05,2,268.8,242.4,240.3,247.1,247.52,234.6,230.5,224.8,237,228.5,237.5,279.5,242.7,240.2
"5","Calvin Johnson","WR","DET",5,1,107.099693797013,225.599330456144,240.033404686973,3.48346740156262,447,6.6,1.6,0,0,0,0,0,93.4999057572756,1549.99992312569,11.9999190636451,0.3,1.00008811914789,233.8,233,238.4,229.4,230.46,212.5,213.7,227.2,226,230,227,182.9,240.7,224.2
"6","Eddie Lacy","RB","GB",6,5,103.000531619435,222.950391328377,238.160956843725,3.60885413038665,441,4.8,-1.2,0,0,0,1237.5,10.9999895248563,37.6338086783898,287.999987250133,1.00009304813809,0.2,1.00005141730139,246.9,206.9,218.1,223.4,221.08,244.7,206.6,211.3,219,227.3,233.5,257.8,221.4,220.2
"7","Demaryius Thomas","WR","DEN",7,2,94.5004607461606,213.000097405291,228.916019145334,3.75645043746943,405,11.1,4.1,0,0,0,0,0,93,1412.00003854451,12.2000155918067,0.3,1,216,224.6,218,221.7,220.36,235,222.9,201.3,210,202.4,212,167.6,220.3,206.7
"8","Peyton Manning","QB","DEN",8,1,90.4235214050396,363.418746647789,387.364376558572,5.48477172165002,341,10.5,2.5,5098.85,44.399956363264,12.0000165508195,-1.35018617865049,0,0,0,0,1,4.00002181829103,375.76,383.08,387,377.22,381.248,369.92,380.98,357.86,359.2,360.24,378,292.62,363.98,386.28
"9","Marshawn Lynch","RB","SEA",9,6,88.019659660462,207.969519369404,223.032845275812,3.79929365426713,385,7.3,-1.7,0,0,0,1196.7,10.1999441557602,27.5000346288624,222.999940953146,1.49996645935749,0,2.09996920830819,214.3,193,234.4,209.2,210.39,229.4,206.6,197.9,217,208.9,220.5,193.8,245.3,207.3
"10","Arian Foster","RB","HOU",10,7,87.9001769247545,207.850036633697,221.415786330458,4.14545441803924,289,18.9,8.9,0,0,0,1153.5,8.00002529205845,47.9601993528163,357,1.79998605485387,1,2.00001572388854,232.2,205.6,188.1,211.7,211.56,239.1,213,197.9,198,198.2,205.5,216.6,214.3,215.6
"11","DeMarco Murray","RB","DAL",11,8,86.7703781370951,206.720237846037,223.21067630108,3.99616000902706,261,20.5,9.5,0,0,0,1108.5,8.50003373928032,53.5000348351042,394.7,1.50003867910207,0.2,2.00009833212846,240,191,195.4,211.2,210.9,215.6,212.6,187.8,201,202,203.5,244,210.9,223.8
"12","Montee Ball","RB","DEN",12,9,85.7903460197526,205.740205728695,220.131761040256,3.90910772814585,355,10.5,-1.5,0,0,0,1131,9.40005382868801,44.125,322.4,1.49998045942781,0,2.5,241.8,198.1,187.6,211.8,211.69,224.7,211,195,228,205,203,220.4,207.6,201
"13","Jimmy Graham","TE","NO",13,1,81.9000571682096,190.400226567581,203.513087400777,3.78298459410035,426,8.4,-4.6,0,0,0,0,0,87.0000824389949,1153.99992885151,12.5000389470716,0,0,202.9,201.8,189.5,189.5,195.43,220,180.6,180.4,195,185.6,187,163.4,192.5,182.6
"14","Dez Bryant","WR","DAL",14,3,81.5848518201179,200.084488479248,212.441032325493,3.46846835987429,367,13.3,-0.699999999999999,0,0,0,5.84923401461228,0,93.9999884933925,1325,11.4999454368376,0,1.00005377161918,201.5,198.3,205.5,199.2,200.2,222.5,194.6,196.6,201.5,200,198,169.8,219.1,212
"15","A.J. Green","WR","CIN",15,4,78.2602898240976,196.759926483228,208.717074145601,3.4893060165076,372,13.2,-1.8,0,0,0,12,0,92.1000339524753,1325.6,10.4999877472047,0,0,193.4,194.8,199.6,196.6,194.52,206.7,190.7,195.2,199,197.2,199.5,160.8,216.3,191.2
"16","Doug Martin","RB","TB",16,10,77.8492834277162,197.799143136659,211.297472757916,4.20804458022776,207,27.3,11.3,0,0,0,1149.99996442177,7.9999410440158,36.9999716020837,294,1.4999221888779,0.2,2.00001635144033,219.2,182.7,204.8,NA,204.17,206.3,213.2,190.1,180.5,200.6,199,218.8,206.8,180.3
"17","LeVeon Bell","RB","PIT",17,11,77.4006165562728,197.350476265215,211.02734365685,3.72178992295575,273,16.7,-0.300000000000001,0,0,0,1070.5,8.00004521391596,47.5111037424331,384,1.00004731215014,0.2,1.25003944559073,233.8,188.5,197.1,205.2,207.23,189.3,205.6,183.4,197.5,197.7,200,219.5,207.2,185
"18","Julio Jones","WR","ATL",18,5,75.9697542731969,194.469390932328,207.823614530579,3.71338464993709,297,19.4,1.4,0,0,0,17.6999309063054,0,91.4615248391267,1347,9.99991609133403,0,1.00004935315361,196.2,206.3,194.6,199.8,203.42,210.6,208.1,183.3,185,195.4,158,192,202.6,197.84
