,Name,Pos,Team,ADP,Stdev
1,LeSean McCoy,RB,PHI,2,1
2,Jamaal Charles,RB,KC,2.4,1.1
3,Adrian Peterson,RB,MIN,3.2,1.6
4,Matt Forte,RB,CHI,4.3,1.2
5,Calvin Johnson,WR,DET,5.3,1.6
6,Eddie Lacy,RB,GB,6,1.6
7,Jimmy Graham,TE,NO,7.9,2.1
8,Peyton Manning,QB,DEN,8,4.1
9,Demaryius Thomas,WR,DEN,9.2,1.9
10,Marshawn Lynch,RB,SEA,9.3,3
11,Montee Ball,RB,DEN,10.2,2.5
12,Dez Bryant,WR,DAL,11.7,2.4
13,Arian Foster,RB,HOU,12.4,3.2
14,A.J. Green,WR,CIN,14,2.5
15,DeMarco Murray,RB,DAL,14.3,3.1
16,LeVeon Bell,RB,PIT,16.3,3.2
17,Julio Jones,WR,ATL,17,2.7
18,Brandon Marshall,WR,CHI,17.8,2.8
19,Aaron Rodgers,QB,GB,17.9,5.5
20,Giovani Bernard,RB,CIN,18.5,3.5
21,Drew Brees,QB,NO,19.3,5.8
22,Alfred Morris,RB,WAS,20.9,3.4
23,Doug Martin,RB,TB,22.8,3.6
24,Jordy Nelson,WR,GB,22.9,3.3
25,Antonio Brown,WR,PIT,25.1,3.2
26,Alshon Jeffery,WR,CHI,26.1,3.6
27,Zac Stacy,RB,STL,26.4,4
28,Rob Gronkowski,TE,NE,26.9,6
29,Randall Cobb,WR,GB,28.7,3.3
30,Andre Ellington,RB,ARI,29.1,4.7
31,Julius Thomas,TE,DEN,29.7,5.2
32,C.J. Spiller,RB,BUF,31.1,4.5
33,Reggie Bush,RB,DET,32.2,4.7
34,Keenan Allen,WR,SD,33.9,3.7
35,Vincent Jackson,WR,TB,35,4
36,Toby Gerhart,RB,JAC,35.3,3.8
37,Pierre Garcon,WR,WAS,37.5,4.3
38,Victor Cruz,WR,NYG,37.7,4.4
39,Ryan Mathews,RB,SD,38.9,4.1
40,Bishop Sankey,RB,TEN,39.9,4.8
41,Larry Fitzgerald,WR,ARI,41.3,5.3
42,Cordarrelle Patterson,WR,MIN,41.4,5.5
43,Wes Welker,WR,DEN,41.6,6.3
44,Matthew Stafford,QB,DET,43.8,9.8
45,Frank Gore,RB,SF,44.2,6.2
46,Shane Vereen,RB,NE,44.7,6
47,Andre Johnson,WR,HOU,45.1,5.5
48,Rashad Jennings,RB,NYG,45.2,5.9
49,Roddy White,WR,ATL,46.5,5.1
50,Percy Harvin,WR,SEA,48.6,5.5
51,Andrew Luck,QB,IND,48.9,10.3
52,Chris Johnson,RB,NYJ,49.3,6.5
53,Michael Crabtree,WR,SF,50.1,4.7
54,DeSean Jackson,WR,WAS,50.9,6
55,Trent Richardson,RB,IND,51,6.8
56,Vernon Davis,TE,SF,54.5,8.8
57,Ben Tate,RB,CLE,55.3,8.1
58,Michael Floyd,WR,ARI,55.4,6.3
59,Jordan Cameron,TE,CLE,57,7.7
60,T.Y. Hilton,WR,IND,58.2,6.4
61,Ray Rice,RB,BAL,58.4,8.3
62,Joique Bell,RB,DET,59.5,7
63,Jeremy Maclin,WR,PHI,60.8,6.1
64,Nick Foles,QB,PHI,61.9,10.6
65,Torrey Smith,WR,BAL,63.4,6
66,Stevan Ridley,RB,NE,64.1,6.9
67,Emmanuel Sanders,WR,DEN,64.7,6.8
68,Tom Brady,QB,NE,66,13.1
69,Robert Griffin III,QB,WAS,66.5,9.5
70,Steven Jackson,RB,ATL,67.5,6.4
71,Mike Wallace,WR,MIA,68.1,6.8
72,Jason Witten,TE,DAL,68.5,8.3
73,Julian Edelman,WR,NE,70.1,7.8
74,Pierre Thomas,RB,NO,71.1,7.8
75,Lamar Miller,RB,MIA,73.2,8
76,Marques Colston,WR,NO,74.1,7.7
77,Sammy Watkins,WR,BUF,74.8,8.4
78,Matt Ryan,QB,ATL,76.1,8.1
79,Jordan Reed,TE,WAS,76.2,9.1
80,Maurice Jones-Drew,RB,OAK,76.5,7.9
81,Terrance Williams,WR,DAL,77.4,7.1
82,Cam Newton,QB,CAR,78.5,12.1
83,Darren Sproles,RB,PHI,78.6,9.8
84,Golden Tate,WR,DET,80.2,7.8
85,Terrance West,RB,CLE,82.4,9.3
86,Kendall Wright,WR,TEN,82.8,8.3
87,Greg Olsen,TE,CAR,82.9,8.6
88,Reggie Wayne,WR,IND,84.4,9.5
89,Colin Kaepernick,QB,SF,85.8,12.4
90,Dennis Pitta,TE,BAL,87.8,9.3
91,Eric Decker,WR,NYJ,89.2,9.5
92,Tony Romo,QB,DAL,89.7,10.3
93,Bernard Pierce,RB,BAL,90,9.3
94,Riley Cooper,WR,PHI,92.6,10.7
95,Kyle Rudolph,TE,MIN,92.8,8.9
96,Seattle Defense,DEF,SEA,93.3,13.1
97,Danny Woodhead,RB,SD,93.7,10
98,Darren McFadden,RB,OAK,94.3,9.9
99,Brandin Cooks,WR,NO,94.7,9.8
100,Jay Cutler,QB,CHI,97.1,10.9
101,Dwayne Bowe,WR,KC,98,9.6
102,Knowshon Moreno,RB,MIA,98.7,13.5
103,Fred Jackson,RB,BUF,99.1,9.4
104,Rueben Randle,WR,NYG,99.9,9.3
105,Khiry Robinson,RB,NO,100.1,9.4
106,Jeremy Hill,RB,CIN,100.8,12.3
107,Hakeem Nicks,WR,IND,103.5,10.7
108,Tavon Austin,WR,STL,104.3,10
109,Philip Rivers,QB,SD,104.7,11.5
110,DeAngelo Williams,RB,CAR,104.9,10.5
111,Zach Ertz,TE,PHI,106.8,14.2
112,Christine Michael,RB,SEA,109.2,10.5
113,Mike Evans,WR,TB,109.5,9.9
114,Devonta Freeman,RB,ATL,109.6,10.1
115,San Francisco Defense,DEF,SF,109.8,9.7
116,DeAndre Hopkins,WR,HOU,111.5,10
117,Russell Wilson,QB,SEA,113.2,13.8
118,Danny Amendola,WR,NE,113.7,11.7
119,Eric Ebron,TE,DET,115.2,17.2
120,Cecil Shorts,WR,JAC,116,9.9
121,Carlos Hyde,RB,SF,117.4,9.1
122,Anquan Boldin,WR,SF,117.7,12.1
123,David Wilson,RB,NYG,118.6,11.1
124,Carolina Defense,DEF,CAR,119.6,10.8
125,Kenny Stills,WR,NO,120.1,9.8
126,Ladarius Green,TE,SD,121.2,16.2
127,Kelvin Benjamin,WR,CAR,123,9.4
128,Denver Defense,DEF,DEN,124.2,11.9
129,LeGarrette Blount,RB,PIT,125.3,10.2
130,Marvin Jones,WR,CIN,125.5,10.6
131,Ben Roethlisberger,QB,PIT,126.5,11.2
132,Tre Mason,RB,STL,126.9,10.8
133,Jarrett Boykin,WR,GB,129,10.1
134,Martellus Bennett,TE,CHI,129,17.3
135,Chris Ivory,RB,NYJ,130,9.8
136,St. Louis Defense,DEF,STL,130.2,9
137,Andy Dalton,QB,CIN,131.3,10
138,Jordan Matthews,WR,PHI,132.8,9.8
139,New England Defense,DEF,NE,133.5,10.8
140,Steve Smith,WR,BAL,135.3,10.9
141,Aaron Dobson,WR,NE,136.3,11.3
142,Johnny Manziel,QB,CLE,137.1,16.6
143,Charles Clay,TE,MIA,139.3,16.8
144,James Jones,WR,OAK,140,10.9
145,Ahmad Bradshaw,RB,IND,140.5,14
146,Jonathan Stewart,RB,CAR,140.7,11.8
147,Arizona Defense,DEF,ARI,140.8,10.4
148,Justin Hunter,WR,TEN,140.8,10.2
149,Knile Davis,RB,KC,141.2,12.7
150,Andre Brown,RB,HOU,144.9,12.9
